timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169075.226,24.414,39.062,26.367,20.020,54.688
1560169075.230,12.207,39.551,28.809,8.301,41.016
1560169075.234,11.719,38.086,27.344,8.789,28.320
1560169075.237,15.625,38.574,27.832,14.160,21.973
1560169075.241,38.574,35.645,29.297,41.992,-9.277
1560169075.245,40.527,35.156,26.855,38.086,38.086
1560169075.249,26.855,37.598,26.367,17.090,51.270
1560169075.253,26.367,39.062,29.297,17.578,38.574
1560169075.257,26.855,39.062,30.762,23.926,41.016
1560169075.261,48.828,37.598,27.344,49.316,24.414
1560169075.265,48.828,38.574,25.391,45.410,52.734
1560169075.269,27.832,39.551,23.438,19.043,10.742
1560169075.273,23.926,41.016,24.414,20.996,31.250
1560169075.277,27.832,41.016,29.297,23.926,78.613
1560169075.280,46.387,40.039,29.785,45.410,63.965
1560169075.284,47.852,38.574,32.227,49.316,69.336
1560169075.288,29.297,38.086,34.180,21.973,45.898
1560169075.292,23.438,38.086,30.762,17.578,63.965
1560169075.296,21.484,35.645,28.809,13.672,63.477
1560169075.300,30.273,33.691,25.879,28.320,-10.742
1560169075.304,32.715,35.645,24.902,32.715,-12.207
1560169075.308,16.602,35.645,24.414,9.766,30.762
1560169075.312,11.719,34.180,22.949,3.906,-14.160
1560169075.316,6.348,35.156,26.367,9.277,-20.508
1560169075.319,22.949,33.691,31.738,33.203,20.508
1560169075.323,36.621,31.738,31.738,39.062,8.789
1560169075.327,18.066,34.180,28.320,13.184,45.898
1560169075.331,12.695,34.668,28.320,7.324,12.207
1560169075.335,11.719,33.691,28.809,6.348,-22.461
1560169075.339,21.484,33.203,27.344,20.996,42.969
1560169075.343,32.715,35.156,26.367,38.574,55.176
1560169075.347,19.043,35.156,25.391,17.578,40.039
1560169075.351,12.695,30.762,22.461,6.836,16.113
1560169075.355,13.184,29.297,27.344,6.836,-1.465
1560169075.359,19.531,31.250,30.762,16.602,21.484
1560169075.362,32.715,29.297,30.273,36.621,84.961
1560169075.366,17.578,29.297,27.832,14.648,73.242
1560169075.370,6.836,29.785,24.414,1.953,72.754
1560169075.374,5.371,29.785,26.367,7.812,114.258
1560169075.378,6.836,32.227,22.461,14.648,95.215
1560169075.382,27.344,30.762,19.043,31.250,45.410
1560169075.386,22.949,33.203,26.855,16.113,-35.645
1560169075.390,9.277,37.598,25.391,-2.930,13.672
1560169075.394,5.859,34.668,21.973,-5.859,54.688
1560169075.398,9.766,30.762,23.926,-3.418,54.199
1560169075.402,30.762,30.762,23.926,13.672,105.957
1560169075.405,22.461,29.297,21.484,-0.977,109.375
1560169075.409,8.301,24.414,20.508,-15.625,38.086
1560169075.413,13.184,26.855,24.414,-5.371,0.977
1560169075.417,11.719,28.809,22.949,-3.418,30.273
1560169075.421,26.367,27.832,21.973,14.648,2.441
